gvkey,fyear,tic,conm,oiadp,at,ind
1004,2015,AIR,AAR CORP,66.1,1442.1,20
1045,2015,AAL,AMERICAN AIRLINES GROUP INC,7284,48415,20
1050,2015,CECE,CECO ENVIRONMENTAL CORP,28.651,598.819,20
1062,2015,ASA,ASA GOLD AND PRECIOUS METALS,-1.713,162.35,40
1072,2015,AVX,AVX CORP,169.302,2409.819,45
1075,2015,PNW,PINNACLE WEST CAPITAL CORP,854.602,15028.258,55
1076,2015,AAN,AARON'S INC,244.117,2658.875,25
1078,2015,ABT,ABBOTT LABORATORIES,3372,41247,35
1094,2015,ACET,ACETO CORP,53.827,489.774,35
1097,2015,ACMTA,ACMAT CORP  -CL A,1.214,73.518,40
1104,2015,ACU,ACME UNITED CORP,7.747,81.421,20
1117,2015,BKTI,BK TECHNOLOGIES,1.43,39.449,45
1121,2015,AE,ADAMS RESOURCES & ENERGY INC,-2.359,243.215,10
1161,2015,AMD,ADVANCED MICRO DEVICES,-319,3109,45
1166,2015,ASMIY,ASM INTERNATIONAL NV,140.052,2254.303,45
1177,2015,AET,AETNA INC,4762.9,53424.1,35
1186,2015,AEM,AGNICO EAGLE MINES LTD,168.035,6683.18,15
1209,2015,APD,AIR PRODUCTS & CHEMICALS INC,1870.3,17438.1,15
1210,2015,AIRT,AIR T INC,6.285,52.155,20
1224,2015,EGN1,ALABAMA GAS CORP,89.2,1519,55
1225,2015,SO1,ALABAMA POWER CO,1563,21721,55
1230,2015,ALK,ALASKA AIR GROUP INC,1330,6533,20
1234,2015,ATRI,ATRION CORP,42.51,164.336,35
1254,2015,MATX,MATSON INC,212.1,1669.8,20
1257,2015,ALX,ALEXANDER'S INC,95.205,1447.808,60
1266,2015,ALCO,ALICO INC,32.702,460.58,30
1274,2015,Y,ALLEGHANY CORP,851.346,22846.333,40
1300,2015,HON,HONEYWELL INTERNATIONAL INC,7374,49316,20
1327,2015,SWKS,SKYWORKS SOLUTIONS INC,1026.7,3719.4,45
1356,2015,AA.3,ALCOA INC,1993,36528,15
1380,2015,HES,HESS CORP,-2359,34195,10
1388,2015,AMR1,AMERICAN AIRLINES INC,7258,50439,20
1393,2015,UHAL,AMERCO,773.111,8150.725,20
1397,2015,ABLT,AMERICAN BILTRITE INC,0.709,114.836,15
1410,2015,ABM,ABM INDUSTRIES INC,95.5,2149.8,20
1414,2015,PRI,PRIMERICA INC,324.488,10612.119,40
1439,2015,ECOL,US ECOLOGY INC,79.531,771.987,20
1440,2015,AEP,AMERICAN ELECTRIC POWER CO,3333.5,61683.1,55
1447,2015,AXP,AMERICAN EXPRESS CO,8968,161184,40
1448,2015,AXP1,AMERICAN EXPRESS CREDIT CORP,590,33285,40
1449,2015,AFL,AFLAC INC,4413,118296,40
1487,2015,AIG,AMERICAN INTERNATIONAL GROUP,5136,496943,40
1491,2015,HAIPF,HADERA PAPER LTD,9.077,656.126,15
1526,2015,ANAT,AMERICAN NATIONAL INSURANCE,268.688,23746.962,40
1545,2015,ARL,AMERICAN REALTY INVESTORS,22.982,1117.368,60
1554,2015,ASEI,AMERICAN SCIENCE ENGINEERING,-2.23,171.229,20
1559,2015,AMS,AMERICAN SHARED HSPTL SERV,3.219,54.114,35
1562,2015,AMSWA,AMERICAN SOFTWARE  -CL A,13.527,136.724,45
1585,2015,AVD,AMERICAN VANGUARD CORP,11.524,443.539,15
1598,2015,AME,AMETEK INC,944.321,6664.53,20
1602,2015,AMGN,AMGEN INC,8603,71576,35
1613,2015,AP,AMPCO-PITTSBURGH CORP,-4.222,506.156,15
1618,2015,AXR,AMREP CORP,-6.174,120.628,20
1632,2015,ADI,ANALOG DEVICES,1064.392,7062.178,45
1633,2015,ALOG,ANALOGIC CORP,40.283,627.97,35
1659,2015,ANDE,ANDERSONS INC,42.624,2359.101,30
1661,2015,NBR,NABORS INDUSTRIES LTD,148.767,9537.84,10
1678,2015,APA,APACHE CORP,-25913,18842,10
1686,2015,APOG,APOGEE ENTERPRISES INC,97.393,657.44,20
1689,2015,AEP1,APPALACHIAN POWER,710.8,11648.3,55
1690,2015,AAPL,APPLE INC,71230,290479,45
1704,2015,AMAT,APPLIED MATERIALS INC,1692,15308,45
1706,2015,ATU,ACTUANT CORP  -CL A,142.207,1636.917,20
1712,2015,TREC,TRECORA RESOURCES,36.041,258.811,15
1722,2015,ADM,ARCHER-DANIELS-MIDLAND CO,2010,40157,30
1742,2015,PNW1,ARIZONA PUBLIC SERVICE CO,872.127,14982.182,55
1743,2015,ARCB,ARCBEST CORP,75.17,1262.909,20
1745,2015,ETR1,ENTERGY ARKANSAS,179.406,8747.774,55
1773,2015,ARW,ARROW ELECTRONICS INC,893.247,13021.93,45
1783,2015,ARTW,ARTS WAY MFG INC,0.005,31.332,20
1794,2015,ASH,ASHLAND GLOBAL HOLDINGS INC,477,10064,15
1820,2015,ALOT,ASTRONOVA INC,6.043,77.963,45
1823,2015,ATRO,ASTRONICS CORP,101.601,609.243,20
1837,2015,SO7,SOUTHERN CO GAS,804,14754,55
1860,2015,ATW,ATWOOD OCEANICS,607.51,4809.011,10
1864,2015,REX,REX AMERICAN RESOURCES CORP,31.021,414.685,10
1878,2015,ADSK,AUTODESK INC,1.3,5515.3,45
1891,2015,ADP,AUTOMATIC DATA PROCESSING,2014,33110.5,45
1906,2015,AVHI,A V HOMES INC,22.171,742.016,25
1913,2015,AVY,AVERY DENNISON CORP,537.7,4133.7,15
1919,2015,AVT,AVNET INC,918.478,10799.953,45
1920,2015,AVP,AVON PRODUCTS,351.6,3879.5,30
1926,2015,AZZ,AZZ INC,123.188,983.371,20
1932,2015,BTI,BRITISH AMER TOBACCO PLC,6968.96,46472.019,30
1949,2015,BRT,BRT APARTMENTS CORP,7.567,835.879,60
1968,2015,BMI,BADGER METER INC,49.769,355.48,45
1976,2015,BHI,BAKER HUGHES INC,78,24080,10
1979,2015,BCPC,BALCHEM CORP  -CL B,95.742,881.223,15
1982,2015,PTVCB,PROTECTIVE INSURANCE CORP,35.639,1085.771,40
1988,2015,BLL,BALL CORP,799.9,9777,15
2002,2015,BPOP,POPULAR INC,1004.036,35769.534,40
2005,2015,BOH,BANK OF HAWAII CORP,325.198,15455.016,40
2019,2015,BK,BANK OF NEW YORK MELLON CORP,6860,393780,40
2044,2015,BCR,BARD (C.R.) INC,855,4942.9,35
2049,2015,B,BARNES GROUP INC,190.679,2061.866,20
2052,2015,BRN,BARNWELL INDUSTRIES,-4.515,41.553,10
2055,2015,ABX,BARRICK GOLD CORP,798,26308,15
2080,2015,BSET,BASSETT FURNITURE INDS,26.463,282.543,25
2086,2015,BAX,BAXTER INTERNATIONAL INC,735,20975,35
2101,2015,AIT,APPLIED INDUSTRIAL TECH INC,184.619,1434.968,20
2111,2015,BDX,BECTON DICKINSON & CO,1512,26820,35
2124,2015,BELFB,BEL FUSE INC,31.943,587.011,45
2136,2015,VZ,VERIZON COMMUNICATIONS INC,33060,244640,50
2154,2015,BMS,BEMIS CO INC,409.3,3489.8,15
2176,2015,BRK.B,BERKSHIRE HATHAWAY,38583,552257,40
2184,2015,BBY,BEST BUY CO INC,1505,13519,25
2220,2015,BIO,BIO-RAD LABORATORIES INC,174.208,3711.542,35
2259,2015,BKH,BLACK HILLS CORP,279.403,4655.501,55
2269,2015,HRB,BLOCK H & R INC,633.192,2857.775,25
2270,2015,ESV,ENSCO PLC,1502.9,13637,10
2271,2015,BLT,BLOUNT INTL INC,52.393,693.126,20
2277,2015,BRRE,BLUE RIDGE REAL ESTATE CO,-10.633,31.163,60
2282,2015,BOBE,BOB EVANS FARMS,54.367,800.374,30
2285,2015,BA,BOEING CO,8119,94408,20
2312,2015,RHI,ROBERT HALF INTL INC,580.48,1702.96,20
2316,2015,0141A,HEXION INC,248,2382,15
2337,2015,RFP,RESOLUTE FOREST PRODUCTS INC,-33,4220,15
2338,2015,REXMY,REXAM PLC,551.499,7156.234,15
2342,2015,BWL.A,BOWL AMERICA INC  -CL A,1.91,32.062,25
2352,2015,BRC,BRADY CORP,94.698,1062.897,20
2369,2015,BAM,BROOKFIELD ASSET MANAGEMENT,3824,139514,40
2390,2015,BRID,BRIDGFORD FOODS CORP,7.993,75.302,30
2393,2015,BGG,BRIGGS & STRATTON,95.586,1458.962,20
2403,2015,BMY,BRISTOL-MYERS SQUIBB CO,2175,31748,35
2410,2015,BP,BP PLC,2465,261832,10
2411,2015,BT,BT GROUP PLC,5362.674,61251.555,50
2435,2015,BF.B,BROWN FORMAN CORP,1039,4183,30
2436,2015,CAL,CALERES INC,135.107,1303.323,25
2444,2015,BC,BRUNSWICK CORP,426.4,3152.5,25
2448,2015,MTRN,MATERION CORP,44.931,742.64,15
2485,2015,CXEE,CHINA XUEFENG ENVIRON ENGR,7.611,35.297,20
2490,2015,BRK3,BURLINGTON NORTHERN SANTA FE,7724,81703,20
2497,2015,MTZ,MASTEC INC,85.755,2940.197,20
2504,2015,UIS,UNISYS CORP,63.4,2143.2,45
2519,2015,BUKS,BUTLER NATIONAL CORP,0.622,42.697,20
2536,2015,RAMP,LIVERAMP HOLDINGS INC,28.574,1149.849,45
2538,2015,CDI,CDI CORP,-0.257,339.097,20
2547,2015,CI,CIGNA CORP,3722,57088,35
2556,2015,CSS,CSS INDUSTRIES INC,27.333,309.926,25
2558,2015,CNA,CNA FINANCIAL CORP,612,55047,40
2573,2015,CSPI,CSP INC,0.226,46.996,45
2574,2015,CSX,CSX CORP,3612,35039,20
2577,2015,CTS,CTS CORP,47.849,484.133,45
2578,2015,6534C,TELOS CORP/MD,-3.617,59.964,45
2581,2015,CVV,CVD EQUIPMENT CORP,5.587,41.132,45
2593,2015,CBT,CABOT CORP,286,3075,15
2596,2015,CACI,CACI INTL INC  -CL A,236.653,3257.116,45
2615,2015,CAMP,CALAMP CORP,32.965,384.363,45
2620,2015,0176A,MUFG AMERICAS HOLDINGS CORP,1552,116206,40
2628,2015,CWT,CALIFORNIA WATER SERVICE GP,95.681,2246.095,55
2663,2015,CPB,CAMPBELL SOUP CO,1226,8089,30
2710,2015,STZ,CONSTELLATION BRANDS,1815.3,16965,30
2721,2015,CAJ,CANON INC,2953.439,36815.274,45
2735,2015,CPTP,CAPITAL PROPERTIES INC,3.991,22.681,60
2751,2015,CAH,CARDINAL HEALTH INC,2215,30142,35
2771,2015,CSL,CARLISLE COS INC,512.7,3954.1,20
2783,2015,DUK8,PROGRESS ENERGY INC,2135,44548,55
2787,2015,CRS,CARPENTER TECHNOLOGY CORP,145.7,2905.9,15
2807,2015,CASY,CASEYS GENERAL STORES INC,388.879,2726.148,30
2811,2015,CTAM,CASTLE (A M) & CO,-57.418,497.653,20
2817,2015,CAT,CATERPILLAR INC,5953,78497,20
2818,2015,CATO,CATO CORP  -CL A,95.935,642.344,25
2820,2015,CVCO,CAVCO INDUSTRIES INC,46.342,553.835,25
2829,2015,RFIL,R F INDUSTRIES LTD,1.076,32.252,45
2849,2015,BBVA1,BBVA COMPASS BANCSHARES INC,1025.383,89965.08,40
2859,2015,CNL,CLECO CORP,291.93,4323.354,55
2862,2015,AEP11,AEP TEXAS CENTRAL CO,257.286,6002.166,55
2865,2015,CSTW,CENTRAL STEEL & WIRE CO,3,210.3,20
2884,2015,CTL,CENTURYLINK INC,2771,47604,50
2911,2015,3089B,UNIFIED GROCERS INC,-5.418,964.325,30
2940,2015,MGLN,MAGELLAN HEALTH INC,119.989,2069.06,35
2942,2015,CMD,CANTEL MEDICAL CORP,83.627,584.031,35
2953,2015,CKP,CHECKPOINT SYSTEMS INC,20.126,657.87,45
2960,2015,CHE,CHEMED CORP,189.646,852.325,35
2968,2015,JPM,JPMORGAN CHASE & CO,50744,2351698,40
2986,2015,CPK,CHESAPEAKE UTILITIES CORP,76.772,1068.586,55
2990,2015,CLSN,CELSION CORP,-20.847,49.055,35
2991,2015,CVX,CHEVRON CORP,-3357,266103,10
2999,2015,CVR,CHICAGO RIVET & MACHINE CO,2.487,30.123,20
3007,2015,EAT,BRINKER INTL INC,311.975,1435.873,25
3026,2015,CHD,CHURCH & DWIGHT INC,683.1,4256.9,30
3028,2015,CHDN,CHURCHILL DOWNS INC,159.214,2277.444,25
